ENSMUSG00000029545|Acads
ENSMUSG00000084883|Ccdc85c
ENSMUSG00000034617|Mtrr
ENSMUSG00000034659|Tmem109
ENSMUSG00000024908|Ppp6r3
ENSMUSG00000019080|Mfsd3
ENSMUSG00000034761|Map4k5
ENSMUSG00000074649|BC029722
ENSMUSG00000031256|Cstf2
ENSMUSG00000060244|Alyref2
ENSMUSG00000032415|Ube2cbp
