ENSMUSG00000026820|Ptges2
ENSMUSG00000074754|Smim26
ENSMUSG00000027387|Zc3h8
ENSMUSG00000063019|Manbal
ENSMUSG00000026000|Lancl1
ENSMUSG00000000088|Cox5a
ENSMUSG00000028246|Faxc
ENSMUSG00000030590|Fam98c
ENSMUSG00000041697|Cox6a1
ENSMUSG00000063802|Hspbp1
ENSMUSG00000079941|Gm11273
