ENSMUSG00000032518|Rpsa
ENSMUSG00000007721|Ccdc124
ENSMUSG00000037608|Bclaf1
ENSMUSG00000058833|Rex1bd
ENSMUSG00000037742|Eef1a1
ENSMUSG00000022052|Ppp2r2a
ENSMUSG00000017264|Exosc10
ENSMUSG00000022185|Acin1
ENSMUSG00000038416|Cdc16
ENSMUSG00000018974|Sart3
ENSMUSG00000024974|Smc3
