ENSMUSG00000074649|BC029722
ENSMUSG00000031256|Cstf2
ENSMUSG00000060244|Alyref2
ENSMUSG00000032415|Ube2cbp
ENSMUSG00000024767|Otub1
ENSMUSG00000020273|Papolg
ENSMUSG00000006920|Ezh1
ENSMUSG00000022420|Dnal4
ENSMUSG00000021038|Vipas39
ENSMUSG00000026696|Vamp4
