ENSMUSG00000035277|Arx
ENSMUSG00000028078|Dclk2
ENSMUSG00000096014|Sox1
ENSMUSG00000045515|Pou3f3
ENSMUSG00000035310|Lin54
ENSMUSG00000033031|C330027C09Rik
ENSMUSG00000033948|Zswim5
ENSMUSG00000024589|Nedd4l
ENSMUSG00000031971|Ccsap
ENSMUSG00000033767|Tmem131l
