ENSMUSG00000026219|Trip12
ENSMUSG00000010607|Pigyl
ENSMUSG00000033917|Gde1
ENSMUSG00000032883|Acsl3
ENSMUSG00000075700|Selenot
ENSMUSG00000015882|Lcorl
ENSMUSG00000015335|Zdhhc12
ENSMUSG00000047368|Abhd17b
ENSMUSG00000034709|Ppp1r21
ENSMUSG00000031729|Ist1
