ENSMUSG00000040177|2310057M21Rik
ENSMUSG00000008348|Ubc
ENSMUSG00000034620|Tmem5
ENSMUSG00000066175|2510046G10Rik
ENSMUSG00000030598|Fbxo17
ENSMUSG00000051483|Cbr1
ENSMUSG00000070000|Fcho1
ENSMUSG00000000811|Txnrd3
ENSMUSG00000000131|Xpo6
ENSMUSG00000046785|Epm2aip1
